COD_LICITACION;COD_PROVEEDOR;PRECIO_TOTAL_OFRECIDO;PRECIO_UNITARIO;CANTIDAD_PIENSA_PROVEER;FECHA_ESPERADA_ENTREGA;NUMERO_LOTE;FECHA_EXPIRACION_LOTE;
4010653;'paki19@yahoo.com';139433;13943;10;TO_DATE('2014-02-28','YYYY-MM-DD');8375412;TO_DATE('2014-03-13','YYYY-MM-DD');
4010653;'soxo3@gmail.com';217081;13567;16;TO_DATE('2014-03-05','YYYY-MM-DD');8433298;TO_DATE('2014-03-13','YYYY-MM-DD');
4010653;'ti55@uniandes.edu.co';207232;20723;10;TO_DATE('2014-02-26','YYYY-MM-DD');5707322;TO_DATE('2014-03-06','YYYY-MM-DD');
4010653;'vomu47@yahoo.com';294371;26761;11;TO_DATE('2014-03-03','YYYY-MM-DD');9099630;TO_DATE('2014-03-14','YYYY-MM-DD');
9414131;'fu41@hotmail.com';206056;9366;22;TO_DATE('2013-05-13','YYYY-MM-DD');6356792;TO_DATE('2013-11-14','YYYY-MM-DD');
9414131;'li12@yahoo.com';218641;12861;17;TO_DATE('2013-05-13','YYYY-MM-DD');8672736;TO_DATE('2014-01-25','YYYY-MM-DD');
9414131;'lu59@uniandes.edu.co';13186;507;26;TO_DATE('2013-05-18','YYYY-MM-DD');2264725;TO_DATE('2013-12-16','YYYY-MM-DD');
9414131;'ne45@yahoo.com';71489;3249;22;TO_DATE('2013-05-18','YYYY-MM-DD');3730259;TO_DATE('2013-09-17','YYYY-MM-DD');
9414131;'rofi34@gmail.com';80845;4755;17;TO_DATE('2013-05-13','YYYY-MM-DD');2457543;TO_DATE('2013-09-23','YYYY-MM-DD');
9414131;'roha13@uniandes.edu.co';64531;2390;27;TO_DATE('2013-05-10','YYYY-MM-DD');9827035;TO_DATE('2014-02-23','YYYY-MM-DD');
9660316;'jaqe80@uniandes.edu.co';291232;48538;6;TO_DATE('2013-05-05','YYYY-MM-DD');2858353;TO_DATE('2013-05-13','YYYY-MM-DD');
2552155;'bilu91@gmail.com';212354;13272;16;TO_DATE('2014-02-08','YYYY-MM-DD');4974286;TO_DATE('2014-11-04','YYYY-MM-DD');
2552155;'leju18@hotmail.com';206499;12147;17;TO_DATE('2014-02-05','YYYY-MM-DD');6535709;TO_DATE('2014-06-09','YYYY-MM-DD');
2552155;'roha13@uniandes.edu.co';199005;12437;16;TO_DATE('2014-02-06','YYYY-MM-DD');5209146;TO_DATE('2014-09-01','YYYY-MM-DD');
2552155;'tu39@yahoo.com';212625;11190;19;TO_DATE('2014-02-03','YYYY-MM-DD');5899347;TO_DATE('2014-05-19','YYYY-MM-DD');
2552155;'xe60@hotmail.com';195653;7246;27;TO_DATE('2014-02-07','YYYY-MM-DD');303949;TO_DATE('2014-09-23','YYYY-MM-DD');
2552155;'ya84@uniandes.edu.co';104413;4350;24;TO_DATE('2014-02-06','YYYY-MM-DD');2738261;TO_DATE('2014-11-03','YYYY-MM-DD');
7954035;'bu86@yahoo.com';67489;8436;8;TO_DATE('2014-04-07','YYYY-MM-DD');5415849;TO_DATE('2016-04-02','YYYY-MM-DD');
7954035;'go36@gmail.com';69281;8660;8;TO_DATE('2014-04-05','YYYY-MM-DD');9328905;TO_DATE('2015-11-07','YYYY-MM-DD');
7954035;'hexo12@yahoo.com';149869;24978;6;TO_DATE('2014-04-09','YYYY-MM-DD');7801166;TO_DATE('2015-07-12','YYYY-MM-DD');
7954035;'vu53@hotmail.com';230209;38368;6;TO_DATE('2014-04-08','YYYY-MM-DD');6360814;TO_DATE('2015-11-27','YYYY-MM-DD');
7954035;'weqo42@gmail.com';186565;31094;6;TO_DATE('2014-04-10','YYYY-MM-DD');567289;TO_DATE('2015-08-14','YYYY-MM-DD');
3385937;'nobe91@yahoo.com';12490;1249;10;TO_DATE('2013-11-29','YYYY-MM-DD');9908295;TO_DATE('2014-09-14','YYYY-MM-DD');
3385937;'tu39@yahoo.com';161856;32371;5;TO_DATE('2013-11-29','YYYY-MM-DD');3449818;TO_DATE('2014-06-04','YYYY-MM-DD');
3385937;'xe60@hotmail.com';148374;14837;10;TO_DATE('2013-11-27','YYYY-MM-DD');1548521;TO_DATE('2014-09-18','YYYY-MM-DD');
3313530;'bu86@yahoo.com';20975;1048;20;TO_DATE('2013-09-11','YYYY-MM-DD');2163267;TO_DATE('2015-09-11','YYYY-MM-DD');
3313530;'dixu22@yahoo.com';40340;2689;15;TO_DATE('2013-09-18','YYYY-MM-DD');8499477;TO_DATE('2014-10-01','YYYY-MM-DD');
3313530;'hexo12@yahoo.com';116342;7756;15;TO_DATE('2013-09-17','YYYY-MM-DD');4949748;TO_DATE('2014-10-16','YYYY-MM-DD');
3313530;'po62@yahoo.com';257487;17165;15;TO_DATE('2013-09-15','YYYY-MM-DD');2315859;TO_DATE('2015-07-29','YYYY-MM-DD');
1093399;'seqo49@uniandes.edu.co';226425;75475;3;TO_DATE('2013-09-19','YYYY-MM-DD');2550108;TO_DATE('2014-02-28','YYYY-MM-DD');
77728;'fu41@hotmail.com';233906;46781;5;TO_DATE('2014-03-17','YYYY-MM-DD');4141804;TO_DATE('2014-10-30','YYYY-MM-DD');
77728;'lu59@uniandes.edu.co';246698;41116;6;TO_DATE('2014-03-13','YYYY-MM-DD');9531577;TO_DATE('2014-12-08','YYYY-MM-DD');
77728;'mo36@gmail.com';220159;44031;5;TO_DATE('2014-03-20','YYYY-MM-DD');2027408;TO_DATE('2014-11-02','YYYY-MM-DD');
77728;'nobe91@yahoo.com';299480;33275;9;TO_DATE('2014-03-20','YYYY-MM-DD');3223968;TO_DATE('2014-11-14','YYYY-MM-DD');
77728;'re16@uniandes.edu.co';244282;48856;5;TO_DATE('2014-03-20','YYYY-MM-DD');6123139;TO_DATE('2014-11-18','YYYY-MM-DD');
77728;'seqo49@uniandes.edu.co';63889;6388;10;TO_DATE('2014-03-23','YYYY-MM-DD');6940739;TO_DATE('2014-07-25','YYYY-MM-DD');
4320628;'dixu22@yahoo.com';35510;7102;5;TO_DATE('2013-08-28','YYYY-MM-DD');6357641;TO_DATE('2014-12-28','YYYY-MM-DD');
4320628;'lo35@uniandes.edu.co';163612;32722;5;TO_DATE('2013-08-25','YYYY-MM-DD');4369504;TO_DATE('2015-01-26','YYYY-MM-DD');
4320628;'peqe75@gmail.com';91050;18210;5;TO_DATE('2013-08-26','YYYY-MM-DD');7408339;TO_DATE('2015-01-02','YYYY-MM-DD');
4320628;'po62@yahoo.com';14867;2973;5;TO_DATE('2013-08-24','YYYY-MM-DD');6143866;TO_DATE('2015-01-10','YYYY-MM-DD');
4320628;'qaco88@gmail.com';208102;41620;5;TO_DATE('2013-08-29','YYYY-MM-DD');1232672;TO_DATE('2015-07-11','YYYY-MM-DD');
4320628;'vu53@hotmail.com';243685;48737;5;TO_DATE('2013-08-28','YYYY-MM-DD');3545711;TO_DATE('2015-01-05','YYYY-MM-DD');
4320628;'zufo3@hotmail.com';239707;47941;5;TO_DATE('2013-09-01','YYYY-MM-DD');7098894;TO_DATE('2015-03-18','YYYY-MM-DD');
4581915;'fo67@yahoo.com';150644;11588;13;TO_DATE('2013-05-06','YYYY-MM-DD');230094;TO_DATE('2013-05-19','YYYY-MM-DD');
4581915;'guwa51@hotmail.com';296845;22834;13;TO_DATE('2013-05-09','YYYY-MM-DD');3795304;TO_DATE('2013-05-19','YYYY-MM-DD');
4581915;'juzo69@yahoo.com';91099;7007;13;TO_DATE('2013-05-08','YYYY-MM-DD');210439;TO_DATE('2013-05-21','YYYY-MM-DD');
4581915;'vomu47@yahoo.com';237593;18276;13;TO_DATE('2013-05-08','YYYY-MM-DD');6334574;TO_DATE('2013-05-21','YYYY-MM-DD');
4581915;'xiju86@hotmail.com';289099;22238;13;TO_DATE('2013-05-06','YYYY-MM-DD');1600728;TO_DATE('2013-05-19','YYYY-MM-DD');
4581915;'yi85@uniandes.edu.co';68159;2963;23;TO_DATE('2013-05-10','YYYY-MM-DD');8895718;TO_DATE('2013-05-24','YYYY-MM-DD');
7738974;'guwa51@hotmail.com';72186;4812;15;TO_DATE('2013-10-23','YYYY-MM-DD');4668566;TO_DATE('2013-11-01','YYYY-MM-DD');
7738974;'ke46@gmail.com';274970;11457;24;TO_DATE('2013-10-28','YYYY-MM-DD');2931313;TO_DATE('2013-11-11','YYYY-MM-DD');
7738974;'le97@uniandes.edu.co';136420;8526;16;TO_DATE('2013-10-29','YYYY-MM-DD');3634523;TO_DATE('2013-11-10','YYYY-MM-DD');
7738974;'rola90@uniandes.edu.co';288484;11095;26;TO_DATE('2013-10-22','YYYY-MM-DD');5545965;TO_DATE('2013-10-29','YYYY-MM-DD');
7738974;'tayu63@gmail.com';33739;2249;15;TO_DATE('2013-10-26','YYYY-MM-DD');6011238;TO_DATE('2013-11-02','YYYY-MM-DD');
7529496;'ko62@hotmail.com';72459;6038;12;TO_DATE('2014-04-05','YYYY-MM-DD');3468525;TO_DATE('2014-04-18','YYYY-MM-DD');
968805;'bu86@yahoo.com';259895;11813;22;TO_DATE('2013-07-02','YYYY-MM-DD');4054398;TO_DATE('2014-07-15','YYYY-MM-DD');
968805;'kido42@uniandes.edu.co';130791;11890;11;TO_DATE('2013-07-03','YYYY-MM-DD');847545;TO_DATE('2014-07-24','YYYY-MM-DD');
968805;'lo35@uniandes.edu.co';17587;1598;11;TO_DATE('2013-07-04','YYYY-MM-DD');6822433;TO_DATE('2015-05-30','YYYY-MM-DD');
2987536;'go36@gmail.com';75404;7540;10;TO_DATE('2014-01-09','YYYY-MM-DD');735128;TO_DATE('2015-06-11','YYYY-MM-DD');
2987536;'pixu63@uniandes.edu.co';287844;19189;15;TO_DATE('2014-01-04','YYYY-MM-DD');6777583;TO_DATE('2015-03-17','YYYY-MM-DD');
2987536;'po62@yahoo.com';246387;13688;18;TO_DATE('2014-01-05','YYYY-MM-DD');7746426;TO_DATE('2015-03-15','YYYY-MM-DD');
4883763;'bu86@yahoo.com';122940;40980;3;TO_DATE('2013-09-16','YYYY-MM-DD');9122766;TO_DATE('2015-03-20','YYYY-MM-DD');
4883763;'lo35@uniandes.edu.co';34518;11506;3;TO_DATE('2013-09-18','YYYY-MM-DD');2346830;TO_DATE('2015-04-29','YYYY-MM-DD');
4883763;'vi15@gmail.com';152171;50723;3;TO_DATE('2013-09-13','YYYY-MM-DD');4466351;TO_DATE('2015-04-20','YYYY-MM-DD');
9733435;'ceti18@hotmail.com';127366;127366;1;TO_DATE('2014-04-17','YYYY-MM-DD');8344513;TO_DATE('2014-04-24','YYYY-MM-DD');
9733435;'vima99@yahoo.com';222101;111050;2;TO_DATE('2014-04-18','YYYY-MM-DD');17100;TO_DATE('2014-04-29','YYYY-MM-DD');
9733435;'xiju86@hotmail.com';257544;257544;1;TO_DATE('2014-04-11','YYYY-MM-DD');7397415;TO_DATE('2014-04-18','YYYY-MM-DD');
3174146;'vazi20@hotmail.com';174779;10281;17;TO_DATE('2013-07-14','YYYY-MM-DD');8406000;TO_DATE('2014-01-11','YYYY-MM-DD');
3174146;'ya84@uniandes.edu.co';22666;1333;17;TO_DATE('2013-07-21','YYYY-MM-DD');200294;TO_DATE('2013-11-17','YYYY-MM-DD');
8930446;'lu59@uniandes.edu.co';211246;6035;35;TO_DATE('2014-02-17','YYYY-MM-DD');9638481;TO_DATE('2014-06-21','YYYY-MM-DD');
8930446;'mo36@gmail.com';15077;837;18;TO_DATE('2014-02-10','YYYY-MM-DD');6301158;TO_DATE('2014-07-04','YYYY-MM-DD');
8930446;'roha13@uniandes.edu.co';55527;2776;20;TO_DATE('2014-02-11','YYYY-MM-DD');2376815;TO_DATE('2014-09-28','YYYY-MM-DD');
8930446;'seqo49@uniandes.edu.co';138776;7709;18;TO_DATE('2014-02-14','YYYY-MM-DD');4896716;TO_DATE('2014-11-05','YYYY-MM-DD');
8930446;'xuya77@hotmail.com';163896;9105;18;TO_DATE('2014-02-18','YYYY-MM-DD');5834864;TO_DATE('2014-05-31','YYYY-MM-DD');
3478546;'du32@hotmail.com';27106;1178;23;TO_DATE('2013-09-23','YYYY-MM-DD');7887241;TO_DATE('2013-10-04','YYYY-MM-DD');
3478546;'jaqe80@uniandes.edu.co';207750;10934;19;TO_DATE('2013-09-17','YYYY-MM-DD');5983044;TO_DATE('2013-09-25','YYYY-MM-DD');
3478546;'joca23@hotmail.com';56320;2448;23;TO_DATE('2013-09-19','YYYY-MM-DD');6034300;TO_DATE('2013-09-27','YYYY-MM-DD');
3478546;'ke46@gmail.com';68538;5272;13;TO_DATE('2013-09-17','YYYY-MM-DD');7822870;TO_DATE('2013-09-25','YYYY-MM-DD');
3478546;'soxo3@gmail.com';286398;15911;18;TO_DATE('2013-09-22','YYYY-MM-DD');2701208;TO_DATE('2013-10-03','YYYY-MM-DD');
3478546;'xiju86@hotmail.com';195477;15036;13;TO_DATE('2013-09-24','YYYY-MM-DD');7985054;TO_DATE('2013-10-08','YYYY-MM-DD');
3478546;'yi85@uniandes.edu.co';109748;5487;20;TO_DATE('2013-09-24','YYYY-MM-DD');4900287;TO_DATE('2013-10-06','YYYY-MM-DD');
7682263;'go36@gmail.com';142423;9494;15;TO_DATE('2013-12-28','YYYY-MM-DD');4863365;TO_DATE('2015-02-08','YYYY-MM-DD');
7682263;'hexo12@yahoo.com';122417;7651;16;TO_DATE('2014-01-01','YYYY-MM-DD');4215272;TO_DATE('2015-06-11','YYYY-MM-DD');
7682263;'lo35@uniandes.edu.co';105817;3527;30;TO_DATE('2013-12-30','YYYY-MM-DD');5140997;TO_DATE('2015-06-16','YYYY-MM-DD');
7682263;'peqe75@gmail.com';123471;6173;20;TO_DATE('2013-12-30','YYYY-MM-DD');8509805;TO_DATE('2015-04-21','YYYY-MM-DD');
7682263;'pixu63@uniandes.edu.co';192459;12830;15;TO_DATE('2013-12-29','YYYY-MM-DD');4669373;TO_DATE('2015-04-01','YYYY-MM-DD');
7682263;'qaco88@gmail.com';124397;4607;27;TO_DATE('2013-12-28','YYYY-MM-DD');2181162;TO_DATE('2015-07-05','YYYY-MM-DD');
7682263;'vi15@gmail.com';208941;13929;15;TO_DATE('2013-12-29','YYYY-MM-DD');2210747;TO_DATE('2015-03-30','YYYY-MM-DD');
7682263;'vu53@hotmail.com';195676;13045;15;TO_DATE('2014-01-02','YYYY-MM-DD');384789;TO_DATE('2015-09-23','YYYY-MM-DD');
7682263;'xuze3@yahoo.com';119960;7997;15;TO_DATE('2013-12-24','YYYY-MM-DD');1997248;TO_DATE('2015-01-31','YYYY-MM-DD');
7682263;'zufo3@hotmail.com';213771;8221;26;TO_DATE('2014-01-02','YYYY-MM-DD');2045926;TO_DATE('2015-12-20','YYYY-MM-DD');
3760537;'guwa51@hotmail.com';100645;8387;12;TO_DATE('2013-11-14','YYYY-MM-DD');2241235;TO_DATE('2013-11-28','YYYY-MM-DD');
3760537;'le97@uniandes.edu.co';17370;1447;12;TO_DATE('2013-11-13','YYYY-MM-DD');2750334;TO_DATE('2013-11-27','YYYY-MM-DD');
3760537;'lu70@gmail.com';119602;7035;17;TO_DATE('2013-11-17','YYYY-MM-DD');1838262;TO_DATE('2013-12-01','YYYY-MM-DD');
3760537;'rola90@uniandes.edu.co';244835;20402;12;TO_DATE('2013-11-12','YYYY-MM-DD');79177;TO_DATE('2013-11-23','YYYY-MM-DD');
3760537;'xiju86@hotmail.com';156444;7822;20;TO_DATE('2013-11-07','YYYY-MM-DD');4290472;TO_DATE('2013-11-20','YYYY-MM-DD');
3440526;'ke46@gmail.com';203260;5211;39;TO_DATE('2013-09-14','YYYY-MM-DD');9679526;TO_DATE('2013-09-26','YYYY-MM-DD');
3440526;'sopu71@gmail.com';69239;1978;35;TO_DATE('2013-09-10','YYYY-MM-DD');6206800;TO_DATE('2013-09-23','YYYY-MM-DD');
3440526;'yi85@uniandes.edu.co';276073;13803;20;TO_DATE('2013-09-13','YYYY-MM-DD');8868132;TO_DATE('2013-09-25','YYYY-MM-DD');
516400;'hexo12@yahoo.com';28793;1515;19;TO_DATE('2013-11-01','YYYY-MM-DD');2419506;TO_DATE('2015-06-23','YYYY-MM-DD');
516400;'peqe75@gmail.com';61630;3243;19;TO_DATE('2013-10-28','YYYY-MM-DD');5040450;TO_DATE('2015-03-02','YYYY-MM-DD');
516400;'pixu63@uniandes.edu.co';227830;20711;11;TO_DATE('2013-10-26','YYYY-MM-DD');5487157;TO_DATE('2015-05-29','YYYY-MM-DD');
516400;'to91@gmail.com';26498;2408;11;TO_DATE('2013-10-24','YYYY-MM-DD');7858698;TO_DATE('2015-02-01','YYYY-MM-DD');
516400;'vu53@hotmail.com';160103;14554;11;TO_DATE('2013-10-30','YYYY-MM-DD');550864;TO_DATE('2015-08-01','YYYY-MM-DD');
516400;'weqo42@gmail.com';248915;22628;11;TO_DATE('2013-11-02','YYYY-MM-DD');6223735;TO_DATE('2015-05-22','YYYY-MM-DD');
516400;'zufo3@hotmail.com';222305;13076;17;TO_DATE('2013-10-27','YYYY-MM-DD');2829231;TO_DATE('2015-02-12','YYYY-MM-DD');
6490380;'bu86@yahoo.com';250706;125353;2;TO_DATE('2013-12-16','YYYY-MM-DD');4419770;TO_DATE('2015-10-28','YYYY-MM-DD');
6490380;'kido42@uniandes.edu.co';201982;50495;4;TO_DATE('2013-12-19','YYYY-MM-DD');9410805;TO_DATE('2015-11-10','YYYY-MM-DD');
6490380;'lo35@uniandes.edu.co';115762;57881;2;TO_DATE('2013-12-15','YYYY-MM-DD');5343021;TO_DATE('2015-11-08','YYYY-MM-DD');
6490380;'peqe75@gmail.com';136114;34028;4;TO_DATE('2013-12-11','YYYY-MM-DD');5202566;TO_DATE('2015-10-24','YYYY-MM-DD');
6490380;'po62@yahoo.com';276936;92312;3;TO_DATE('2013-12-15','YYYY-MM-DD');5644927;TO_DATE('2015-10-21','YYYY-MM-DD');
6490380;'xuze3@yahoo.com';52054;26027;2;TO_DATE('2013-12-11','YYYY-MM-DD');8527613;TO_DATE('2015-10-12','YYYY-MM-DD');
9877167;'xiju86@hotmail.com';195709;48927;4;TO_DATE('2014-04-01','YYYY-MM-DD');1616846;TO_DATE('2014-04-08','YYYY-MM-DD');
4551292;'kido42@uniandes.edu.co';171418;85709;2;TO_DATE('2013-11-09','YYYY-MM-DD');3778905;TO_DATE('2015-03-16','YYYY-MM-DD');
4551292;'qaco88@gmail.com';58695;29347;2;TO_DATE('2013-11-03','YYYY-MM-DD');148043;TO_DATE('2015-06-27','YYYY-MM-DD');
4551292;'to91@gmail.com';155258;77629;2;TO_DATE('2013-10-31','YYYY-MM-DD');702613;TO_DATE('2014-12-07','YYYY-MM-DD');
7100633;'joca23@hotmail.com';256905;14272;18;TO_DATE('2014-01-10','YYYY-MM-DD');3198931;TO_DATE('2014-01-22','YYYY-MM-DD');
8585458;'ce47@uniandes.edu.co';264316;20332;13;TO_DATE('2013-10-27','YYYY-MM-DD');4185573;TO_DATE('2013-11-05','YYYY-MM-DD');
8585458;'ceti18@hotmail.com';235433;18110;13;TO_DATE('2013-11-02','YYYY-MM-DD');2392110;TO_DATE('2013-11-15','YYYY-MM-DD');
8585458;'du32@hotmail.com';207184;15937;13;TO_DATE('2013-10-31','YYYY-MM-DD');9158258;TO_DATE('2013-11-09','YYYY-MM-DD');
8585458;'juzo69@yahoo.com';168528;8025;21;TO_DATE('2013-10-27','YYYY-MM-DD');425814;TO_DATE('2013-11-05','YYYY-MM-DD');
8585458;'ke46@gmail.com';74280;5713;13;TO_DATE('2013-11-01','YYYY-MM-DD');1136749;TO_DATE('2013-11-10','YYYY-MM-DD');
8585458;'pa82@uniandes.edu.co';132277;6613;20;TO_DATE('2013-11-04','YYYY-MM-DD');9137909;TO_DATE('2013-11-11','YYYY-MM-DD');
8585458;'ti55@uniandes.edu.co';88186;5879;15;TO_DATE('2013-11-03','YYYY-MM-DD');9862043;TO_DATE('2013-11-10','YYYY-MM-DD');
8585458;'vima99@yahoo.com';298072;13548;22;TO_DATE('2013-11-04','YYYY-MM-DD');8285733;TO_DATE('2013-11-15','YYYY-MM-DD');
2684087;'dixu22@yahoo.com';60804;4677;13;TO_DATE('2014-01-29','YYYY-MM-DD');681432;TO_DATE('2016-01-07','YYYY-MM-DD');
2684087;'hexo12@yahoo.com';117513;9792;12;TO_DATE('2014-01-30','YYYY-MM-DD');4994842;TO_DATE('2015-10-22','YYYY-MM-DD');
2684087;'pixu63@uniandes.edu.co';27906;1550;18;TO_DATE('2014-01-22','YYYY-MM-DD');2799917;TO_DATE('2015-12-31','YYYY-MM-DD');
2684087;'qaco88@gmail.com';188989;15749;12;TO_DATE('2014-01-24','YYYY-MM-DD');9928558;TO_DATE('2015-02-16','YYYY-MM-DD');
2684087;'weqo42@gmail.com';259556;21629;12;TO_DATE('2014-01-28','YYYY-MM-DD');8635455;TO_DATE('2015-10-08','YYYY-MM-DD');
2684087;'zufo3@hotmail.com';129679;10806;12;TO_DATE('2014-01-28','YYYY-MM-DD');5349069;TO_DATE('2015-07-12','YYYY-MM-DD');
4544284;'du32@hotmail.com';210015;16155;13;TO_DATE('2014-04-29','YYYY-MM-DD');6870806;TO_DATE('2014-05-13','YYYY-MM-DD');
4544284;'ru61@uniandes.edu.co';92422;7109;13;TO_DATE('2014-04-29','YYYY-MM-DD');8990064;TO_DATE('2014-05-12','YYYY-MM-DD');
4544284;'soxo3@gmail.com';295116;22701;13;TO_DATE('2014-04-24','YYYY-MM-DD');8520237;TO_DATE('2014-05-04','YYYY-MM-DD');
4544284;'xa62@uniandes.edu.co';119924;5710;21;TO_DATE('2014-05-01','YYYY-MM-DD');5554803;TO_DATE('2014-05-10','YYYY-MM-DD');
5845621;'jaqe80@uniandes.edu.co';279233;15512;18;TO_DATE('2013-11-13','YYYY-MM-DD');6159035;TO_DATE('2013-11-25','YYYY-MM-DD');
2898643;'ce47@uniandes.edu.co';260456;52091;5;TO_DATE('2014-03-27','YYYY-MM-DD');3042241;TO_DATE('2014-04-10','YYYY-MM-DD');
9852444;'bilu91@gmail.com';104000;3466;30;TO_DATE('2013-04-26','YYYY-MM-DD');6838991;TO_DATE('2013-09-04','YYYY-MM-DD');
9852444;'nobe91@yahoo.com';292648;18290;16;TO_DATE('2013-05-02','YYYY-MM-DD');1635335;TO_DATE('2013-12-06','YYYY-MM-DD');
9852444;'tu39@yahoo.com';145064;6044;24;TO_DATE('2013-04-22','YYYY-MM-DD');6909309;TO_DATE('2014-01-21','YYYY-MM-DD');
9852444;'xuya77@hotmail.com';282858;16638;17;TO_DATE('2013-05-01','YYYY-MM-DD');7770808;TO_DATE('2013-10-23','YYYY-MM-DD');
9852444;'ya84@uniandes.edu.co';194505;8456;23;TO_DATE('2013-04-25','YYYY-MM-DD');7342342;TO_DATE('2013-09-16','YYYY-MM-DD');
4473421;'bu86@yahoo.com';240757;24075;10;TO_DATE('2014-04-11','YYYY-MM-DD');4580606;TO_DATE('2016-02-27','YYYY-MM-DD');
4473421;'hexo12@yahoo.com';11889;1188;10;TO_DATE('2014-04-03','YYYY-MM-DD');2195975;TO_DATE('2015-09-18','YYYY-MM-DD');
4473421;'pixu63@uniandes.edu.co';55667;6185;9;TO_DATE('2014-04-08','YYYY-MM-DD');6449448;TO_DATE('2015-06-03','YYYY-MM-DD');
1182305;'lo35@uniandes.edu.co';126077;12607;10;TO_DATE('2014-03-09','YYYY-MM-DD');5415128;TO_DATE('2015-05-09','YYYY-MM-DD');
1182305;'pixu63@uniandes.edu.co';166056;8302;20;TO_DATE('2014-03-16','YYYY-MM-DD');3060001;TO_DATE('2015-09-18','YYYY-MM-DD');
1182305;'to91@gmail.com';214519;21451;10;TO_DATE('2014-03-13','YYYY-MM-DD');4217961;TO_DATE('2016-02-10','YYYY-MM-DD');
1182305;'vi15@gmail.com';212847;21284;10;TO_DATE('2014-03-16','YYYY-MM-DD');4192835;TO_DATE('2015-03-30','YYYY-MM-DD');
4986292;'bi18@yahoo.com';157803;8305;19;TO_DATE('2013-04-27','YYYY-MM-DD');5989761;TO_DATE('2014-01-12','YYYY-MM-DD');
4986292;'lodi27@hotmail.com';100543;4787;21;TO_DATE('2013-04-27','YYYY-MM-DD');6868921;TO_DATE('2013-10-20','YYYY-MM-DD');
4986292;'ne45@yahoo.com';46798;2463;19;TO_DATE('2013-05-05','YYYY-MM-DD');3193141;TO_DATE('2014-02-25','YYYY-MM-DD');
4986292;'pavi78@uniandes.edu.co';147443;7021;21;TO_DATE('2013-04-26','YYYY-MM-DD');610409;TO_DATE('2013-10-25','YYYY-MM-DD');
4986292;'qe95@uniandes.edu.co';118648;6244;19;TO_DATE('2013-04-25','YYYY-MM-DD');3410972;TO_DATE('2013-10-12','YYYY-MM-DD');
4986292;'vazi20@hotmail.com';219813;10467;21;TO_DATE('2013-04-26','YYYY-MM-DD');7237961;TO_DATE('2013-11-26','YYYY-MM-DD');
4986292;'xe60@hotmail.com';65025;3422;19;TO_DATE('2013-04-25','YYYY-MM-DD');1433223;TO_DATE('2013-12-24','YYYY-MM-DD');
2073431;'ce47@uniandes.edu.co';242946;121473;2;TO_DATE('2013-05-22','YYYY-MM-DD');6956325;TO_DATE('2013-06-03','YYYY-MM-DD');
2073431;'ceti18@hotmail.com';249954;249954;1;TO_DATE('2013-05-20','YYYY-MM-DD');7290200;TO_DATE('2013-05-28','YYYY-MM-DD');
2073431;'paki19@yahoo.com';79992;79992;1;TO_DATE('2013-05-20','YYYY-MM-DD');9173314;TO_DATE('2013-05-30','YYYY-MM-DD');
2073431;'rola90@uniandes.edu.co';25995;12997;2;TO_DATE('2013-05-26','YYYY-MM-DD');8713825;TO_DATE('2013-06-08','YYYY-MM-DD');
2073431;'ru61@uniandes.edu.co';256167;128083;2;TO_DATE('2013-05-23','YYYY-MM-DD');6573413;TO_DATE('2013-06-03','YYYY-MM-DD');
2073431;'sopu71@gmail.com';95907;47953;2;TO_DATE('2013-05-24','YYYY-MM-DD');9503333;TO_DATE('2013-06-02','YYYY-MM-DD');
2073431;'vomu47@yahoo.com';252179;126089;2;TO_DATE('2013-05-21','YYYY-MM-DD');7180750;TO_DATE('2013-05-30','YYYY-MM-DD');
2073431;'xa62@uniandes.edu.co';200414;200414;1;TO_DATE('2013-05-26','YYYY-MM-DD');1538067;TO_DATE('2013-06-08','YYYY-MM-DD');
8196548;'leju18@hotmail.com';188820;5900;32;TO_DATE('2013-12-07','YYYY-MM-DD');3996061;TO_DATE('2014-04-28','YYYY-MM-DD');
8196548;'ne45@yahoo.com';142019;5462;26;TO_DATE('2013-12-10','YYYY-MM-DD');378191;TO_DATE('2014-06-01','YYYY-MM-DD');
8196548;'nobe91@yahoo.com';71565;4472;16;TO_DATE('2013-12-07','YYYY-MM-DD');7991075;TO_DATE('2014-09-04','YYYY-MM-DD');
8196548;'roha13@uniandes.edu.co';146221;5415;27;TO_DATE('2013-11-30','YYYY-MM-DD');2298191;TO_DATE('2014-07-30','YYYY-MM-DD');
8196548;'seqo49@uniandes.edu.co';114101;7131;16;TO_DATE('2013-11-30','YYYY-MM-DD');8807639;TO_DATE('2014-08-25','YYYY-MM-DD');
8196548;'to8@yahoo.com';21681;1355;16;TO_DATE('2013-12-02','YYYY-MM-DD');5386548;TO_DATE('2014-08-06','YYYY-MM-DD');
5261572;'bi18@yahoo.com';121486;20247;6;TO_DATE('2013-11-25','YYYY-MM-DD');6504017;TO_DATE('2014-07-08','YYYY-MM-DD');
5261572;'bilu91@gmail.com';220321;55080;4;TO_DATE('2013-11-28','YYYY-MM-DD');3780975;TO_DATE('2014-08-20','YYYY-MM-DD');
5261572;'nobe91@yahoo.com';80364;20091;4;TO_DATE('2013-12-01','YYYY-MM-DD');8937047;TO_DATE('2014-08-01','YYYY-MM-DD');
